source,relation,target,origin,score,evidence
삼성SDI,BELONGS_TO,IT 기기,006400,77,"IT용 배터리 급속충전 기술 개발, IT용 파우치형 리튬 2차전지 사업"
에코프로비엠,SUPPLIES,삼성SDI,086520,78,삼성SDI / 하이니켈계 NCA 양극소재 공급계약
에코프로비엠,SUPPLIES,삼성SDI,247540,78,삼성SDI / 하이니켈계 NCA 양극소재 공급계약
LG화학,BELONGS_TO,석유화학,051910,79,"석유화학 / 사업부문 / 원재료 / 납사,EDC 등 / PE/PVC원료"
에코프로,BELONGS_TO,양극재,086520,79,"에코프로비엠 양극활물질(NCA, NCM) CAM 생산"
LG화학,BELONGS_TO,첨단소재,051910,81,"첨단소재 / 사업부문 / 원재료 / 전구체, 리튬 등 / 양극재 및 전자소재"
LG화학,BELONGS_TO,석유화학,051910,81,구분 / 사업부문 / 석유화학
LG화학,SUPPLIES,LG에너지솔루션,051910,83,"LG에너지솔루션 / 원재료 / 양극재, 음극재, 분리막 등 / 전지 원재료 / 9,814,535 / 42.1% / NICHIA 등"
LG화학,BELONGS_TO,비료,051910,83,비료 / 11.3 / 12.0 / 10.7 / 한국비료협회 자료를 이용한 자체 추정
SK이노베이션,BELONGS_TO,LNG Upstream부터 LNG Downstream 까지 Value Chain,096770,85,SK이노베이션 E&S CIC는 도시가스 사업 지주회사로 출발하여 끊임없는 혁신을 통해 LNG Upstream부터 LNG Downstream 까지 Value Chain을 완성하였으며
SK이노베이션,OWNS_STAKE,SK ENMOVE GABRIEL INDIA PRIVATE,096770,85,SK ENMOVE GABRIEL INDIA LIMITED 설립 및 공동운영을 위한 합작투자계약
LG화학,BELONGS_TO,생명과학,051910,86,"생명과학 / 사업부문 / 원재료 / 의약품원료, 유기화합물 등 / 의약품, 동물의약, 의약중간체, 농약원제"
LG화학,BELONGS_TO,농업,051910,86,"공통 및 기타부문 / 원재료 / 그레뉼요소, 암모니아 등 / 농업용 자재 등"
SK이노베이션,BELONGS_TO,상호출자제한기업집단,096770,87,"당사와 자회사 ... 등은 2025년 12월 31일 현재 ""독점규제 및 공정거래에 관한 법률"" 상 「상호출자제한기업집단」으로 지정되어 있어서"
SK이노베이션,BENEFITS_FROM,독점규제 및 공정거래에 관한 법률,096770,87,"당사와 자회사 ... 등은 2025년 12월 31일 현재 ""독점규제 및 공정거래에 관한 법률"" 상 「상호출자제한기업집단」으로 지정되어 있어서"
LG화학,BELONGS_TO,작물보호제,051910,88,작물보호제(농약) / 30.0 / 27.0 / 26.0 / 한국작물보호협회 회사별/품목별 판매현황자료를 이용한 자체 추정
LG화학,BELONGS_TO,종자,051910,88,작물보호제(농약) / 30.0 / 27.0 / 26.0 / 한국작물보호협회 회사별/품목별 판매현황자료를 이용한 자체 추정
SK이노베이션,BENEFITS_FROM,신에너지 및 재생에너지 개발·이용·보급 촉진법,096770,88,"재생에너지 사업은 RPS 의무 및 발전원별 가중치 등을 포함하는 ""신에너지 및 재생에너지 개발·이용·보급 촉진법""과 ... 관계가 있으며"
포스코퓨처엠,BENEFITS_FROM,전기차 구매 보조금,003670,89,"정부보조금 551, 519, 527"
