source,source_type,relation,target,target_type,qota_rt,origins,evidences
LG화학,Company,BELONGS_TO,석유화학,Industry,,051910,"석유화학 사업부문|석유화학 사업부문 ... 국내 및 해외 합성수지, 플라스틱 가공업체, 가전제품 생산업체|석유화학 사업은 납사를 원료로 하여 에틸렌, 프로필렌, 부타디엔, 벤젠 등 기초원료를 생산하는 공업과 이를 원료로 하여 다양한 합성수지를 생산하는 공업을 포괄하는 사업으로 대규모 장치산업의 특징을 지니고 있습니다.|석유화학연구소|이들은 대부분 석유화학제품, IT소재 등에 관한 특허로 회사의 주력사업 제품에 쓰이거나 향후 핵심 기능으로 활용될 가능성이 높습니다."
LG화학,Company,BELONGS_TO,스마트팩토리,Industry,,051910,
LG화학,Company,BELONGS_TO,양극재,Industry,,051910,이차전지용 양극재 개발
LG화학,Company,BELONGS_TO,에너지솔루션,Industry,,051910,LG에너지솔루션은 끊임없는 배터리 연구개발과 신제품 출시 및 품질 혁신을 통해 에너지솔루션 산업을 대표하는 글로벌 기업으로 성장하였습니다.
LG화학,Company,BELONGS_TO,원예 작물,Industry,,051910,속효성과 완효성 기능이 함유된 원예전용 CRF비료 ... 조숙성을 지니며 흑부병/위황병 저항성 유럽/중국 조생 원형 양배추 품종 개발 ... 과품질이 우수한 흰가루병 저항성 고온기멜론 품종 개발 ... 겨울배추 품종개발
LG화학,Company,BELONGS_TO,의약품,Industry,,051910,"Zemiglo의 API(원료의약품, Active Pharmaceutical Ingredients)인 gemigliptin 물질특허 ... 상용화단계"
LG화학,Company,BELONGS_TO,이차전지,Industry,,051910,"2차전지 산업은 과거 노트북, 스마트폰 등 IT기기용 전지를 중심으로 성장하여왔으나, 세계 각국의 환경규제 및 전기차에 대한 구매 보조금, 세제혜택 등의 정책실시로 전기차 시장이 빠르게 성장하면서 EV용 배터리가 2차전지 산업의 성장을 주도하고 있습니다.|2차전지 제조업은 양극재, 음극재, 전해질을 비롯한 소재의 배합, 전극 및 배터리 셀의 구조 설계에 관한 고도의 화학/전기/기계공학 관련 기술을 요합니다.|LG에너지솔루션 ... 2차전지 ... 자동차 관련 업체 및 정보통신업체|열전도성 수지층을 포함하는 배터리 모듈에 관한 기술|전기화학적 성능이 우수한 니켈계 리튬 이차전지용 전극 활물질에 관한 기술"
LG화학,Company,BELONGS_TO,자동차,Industry,,051910,"자동차전지 BEV, PHEV 전지 개발"
LG화학,Company,BELONGS_TO,작물보호제,Industry,,051910,"(주)팜한농은 작물보호제, 종자, 비료 등의 제조 및 판매를 주요 사업으로 하고 있습니다."
LG화학,Company,BELONGS_TO,전동공구,Industry,,051910,차세대 원통형 전지 개발 - E-mobility 및 고출력 전동공구용 전지 개발
LG화학,Company,BELONGS_TO,조류 영양제,Industry,,051910,조류에 적용 가능한 해조류 전용 영양제 개발
LG화학,Company,BELONGS_TO,종자,Industry,,051910,"(주)팜한농은 작물보호제, 종자, 비료 등의 제조 및 판매를 주요 사업으로 하고 있습니다."
LG화학,Company,BELONGS_TO,첨단소재,Industry,,051910,"2) 첨단소재 사업부문|첨단소재 사업부문|첨단소재 사업부문 ... 2차전지업체, 정보통신업체, 가전제품 생산업체|첨단소재연구소"
LG화학,Company,BELONGS_TO,흡수성 수지,Industry,,051910,표면가교 처리시 조건 조절을 통해 흡수특성이 향상된 물질특허
SK아이이테크놀로지,Company,BELONGS_TO,LiBS,Industry,,361610,LiBS 사업은 2007년 세계 최초로 축차 연신 공정을 완성한 이후 세계 최초의 5μm 박막제품 개발 및 양면 동시 코팅 상업화 등 경쟁사 대비 우위의 기술력을 바탕으로 Global LiBS 시장을 선도하고 있습니다.
SK아이이테크놀로지,Company,BELONGS_TO,분리막,Industry,,361610,"당사는 LiBS(리튬배터리용 분리막) 제조에 필요한 고유기술을 국내 최초로 개발하여 사업화 하였으며|당사는 이차전지용 분리막 장기공급계약을 체결하였으며|분리막 산업은 기술장벽이 높고 거대한 자본이 투입되는 대규모 장치 산업이라는 특성으로 인하여 당사를 포함한 소수 업체 위주의 과점 체제를 형성하고 있습니다.|분리막은 완성품이 아닌 중간재 성격을 지닌 제품으로서 전방산업인 배터리 산업과 최종 전방산업인 EV 및 IT기기, 에너지 산업의 영향을 받게 되어 Global 경기 변동의 영향도 일부 받는 구조입니다."
SK아이이테크놀로지,Company,BELONGS_TO,이차전지,Industry,,361610,
SK아이이테크놀로지,Company,BELONGS_TO,이차전지 소재,Industry,,361610,"2차 전지 소재사업의 특성 상 기술, 정보 유출 등의 우려를 감안하여 상세 내용 기재를 생략합니다."
SK에너지,Company,BELONGS_TO,정유,Industry,,096770,1962년 국내 최초의 정유회사로 시작한 SK에너지는 대한민국 NO.1 정유사로서
SK이노베이션,Company,BELONGS_TO,E&S 사업,Industry,,096770,E&S 사업
SK이노베이션,Company,BELONGS_TO,LNG,Industry,,096770,
SK이노베이션,Company,BELONGS_TO,LNG Upstream부터 LNG Downstream 까지 Value Chain,Industry,,096770,
SK이노베이션,Company,BELONGS_TO,LiBS,Industry,,096770,"LiBS의 주요 수요자는 배터리 업체이며, IT, Power tool용 소형 배터리와 xEV 및 ESS용 중대형 배터리 업체가 있습니다."
SK이노베이션,Company,BELONGS_TO,그린에너지,Industry,,096770,"당사가 보유 중인 특허/실용신안은 석유, 윤활유, 석유화학, 폴리머, 그린에너지, 배터리, 신소재 등에 관한 것이며"
SK이노베이션,Company,BELONGS_TO,기유,Industry,,096770,"기유 산업은 윤활유 수요에 영향을 미치는 산업경기, 특히 자동차 및 기계 산업과 연관성을 가지고 있으며"
SK이노베이션,Company,BELONGS_TO,기유 및 윤활유 사업,Industry,,096770,(2) 기유 및 윤활유사업
SK이노베이션,Company,BELONGS_TO,기초유화,Industry,,096770,6. 화학 사업 ▶ 기초유화사업 ... 2) 당사의 경쟁 우위 요소 ... 당사의 기초유화사업은 울산 석유화학단지 내에 위치하고 있어|기초유화사업
SK이노베이션,Company,BELONGS_TO,도시가스,Industry,,096770,"(1) 도시가스 사업 도시가스 공급은 정부시책에 의해 전국 주요도시를 중심으로 1개 업체만 참여 할 수 있도록 되어 있으며|(2) 도시가스 사업|도시가스 사업|도시가스 사업
(1) 산업의 특성
도시가스산업은 전기, 수도와 같이 국민생활에 필요한 기초적인 에너지를 공급하는 사업으로서...|현재 전국 34개 도시가스 사업자가 있으며... (3) 산업에 영향을 미치는 요인 도시가스는 난방용 수요의 비중이 크기 때문에..."
SK이노베이션,Company,BELONGS_TO,분리막,Industry,,096770,당사는 이차전지용 분리막 장기공급계약을 체결하였으며|이에 연계한 분리막 산업의 성장성도 높다고 할 수 있습니다.
SK이노베이션,Company,BELONGS_TO,상호출자제한기업집단,Industry,,096770,
SK이노베이션,Company,BELONGS_TO,석유,Industry,,096770,석유사업은 기본적으로 원유수입→제품생산→수송/저유→제품판매의 Value Chain으로 구성되어 있어
SK이노베이션,Company,BELONGS_TO,석유 트레이딩,Industry,,096770,"당사는 1984년 국내 최초로 원유 및 석유제품 트레이딩을 시작하며 국가 경제의 주요 에너지원인 원유와 석유제품의 거래를 선도해왔습니다.|원유 및 석유제품 트레이딩은 원유, 석유제품 등 다양한 에너지 자원을 글로벌 시장에서 거래하는 사업입니다."
SK이노베이션,Company,BELONGS_TO,석유개발,Industry,,096770,"1859년 美 펜실베니아州에서의 유정 굴착이 시초가 된 석유개발(E&P) 산업은 지하에 부존하는 원유나 천연가스 등을 탐사를 통해 찾아내고, 이를 개발/생산하여 판매하는 일련의 경제활동을 말합니다."
SK이노베이션,Company,BELONGS_TO,석유화학,Industry,,096770,"SK이노베이션은 에너지/석유화학 사업을 통해 축적한 촉매 및 무기 소재 역량...|기초유화사업|당사가 보유 중인 특허/실용신안은 석유, 윤활유, 석유화학, 폴리머, 그린에너지, 배터리, 신소재 등에 관한 것이며"
SK이노베이션,Company,BELONGS_TO,소재,Industry,,096770,9. 소재사업
SK이노베이션,Company,BELONGS_TO,수소,Industry,,096770,"수소산업이 기술적, 경제적으로 초기 단계임을 인식하고 정부 주도 하에 연구개발 및 실증 프로젝트에 민간기업이 참여하는 형태로 수소산업을 추진 중입니다."
SK이노베이션,Company,BELONGS_TO,신소재,Industry,,096770,"당사가 보유 중인 특허/실용신안은 석유, 윤활유, 석유화학, 폴리머, 그린에너지, 배터리, 신소재 등에 관한 것이며"
SK이노베이션,Company,BELONGS_TO,양극재,Industry,,096770,
SK이노베이션,Company,BELONGS_TO,에너지/화학,Industry,,096770,에너지/화학 사업
SK이노베이션,Company,BELONGS_TO,에너지/화학 사업,Industry,,096770,"당사는 직접 어떠한 사업활동을 함과 동시에 다른 회사를 지배하기 위하여 주식을 소유하는 사업 지주회사이며, 당기말 기준 당사 및 주요 종속회사의 사업 내용은 아래와 같습니다. ... 에너지/화학 사업 ... SK에너지㈜ ... SK인천석유화학㈜|에너지/화학 사업"
SK이노베이션,Company,BELONGS_TO,에너지솔루션,Industry,,096770,"에너지솔루션사업은 기존 국가주도의 에너지 공급자 중심 환경에서 점차 민간의 신재생 사업 및 수요자 중심으로 변화되는 가운데 가장 중요한 역할을 할 것으로 예상하고 있습니다.|에너지솔루션사업은 다양한 정의가 있으나 일반적으로 친환경적인 방법으로 기존 에너지의 수요와 공급 과정에서 발생하는 문제점을 개선하는 사업을 말합니다. 당사는 광범위한 에너지솔루션사업 영역에서 ... 영위하고 있습니다.|전력망 에너지솔루션 사업의 정의... 광의의 ""전력망 에너지솔루션 사업""은 위와 같이 에너지 전환 과정에서 전력망에 발생하는 각종 문제들을 해결함으로써 에너지전환을 촉진하는 사업을 의미하며"
SK이노베이션,Company,BELONGS_TO,유류판매,Industry,,096770,내트럭㈜는 화물차 전용휴게소 사업과 유류판매 및 운송관련 물류지원 부대사업 등을 운영하는 기업입니다.
SK이노베이션,Company,BELONGS_TO,윤활유,Industry,,096770,"국내 윤활유 시장은 중소업체까지 포함하여 약 200여개의 업체가 경쟁하고 있으며, 주요 경쟁사는 GS칼텍스, 에쓰오일토탈윤활유(STLC) 등 국내 대형 윤활유 제조사와 기타 해외브랜드 업체가 있습니다.|윤활유 산업은 완제품 수요에 영향을 미치는 산업경기, 특히 자동차 및 기계산업의 가동률과 밀접한 연관성을 가지고 있습니다."
SK이노베이션,Company,BELONGS_TO,이차전지,Industry,,096770,"(1) 배터리사업|SK이노베이션은 에너지/석유화학 사업을 통해 축적한 촉매 및 무기 소재 역량... Energy Saving, 배터리, Energy Solution, 에너지/화학, 환경기술 분야에서 세계 최고의 기술을 개발하고 있습니다.|배터리/소재 사업|중대형 배터리사업은 전기자동차 및 ESS(Energy Storage System)에 사용되는 대용량 리튬-이온 배터리를 개발하여 생산ㆍ판매하는 사업입니다.|특히, 배터리 사업에서는 리튬 이차전지 관련 소재, 셀, 모듈, 시스템 분야 특허 출원을 강화하고 있으며"
SK이노베이션,Company,BELONGS_TO,이차전지 소재,Industry,,096770,2차 전지 소재사업의 특성 상
SK이노베이션,Company,BELONGS_TO,재생에너지,Industry,,096770,14. 재생에너지 사업 (1) 산업의 특성 재생에너지 사업은 국내 RPS 의무이행 및 RE100 수요를 기반으로 하여...|재생에너지 산업은 지속적인 성장이 예상됩니다.
SK이노베이션,Company,BELONGS_TO,"재생에너지, 수소 및 에너지솔루션 사업",Industry,,096770,"SK이노베이션 E&S CIC는 ... 재생에너지, 수소 및 에너지솔루션 사업으로 영역을 확장하고 있습니다."
SK이노베이션,Company,BELONGS_TO,전기차 충전,Industry,,096770,(2) 전기차 충전 사업... 전기차 충전 사업은 전기차에 전기 에너지를 공급하는 과정에서 충전기를 판매·설치·관리하고 충전료를 과금하는 사업으로 정의할 수 있습니다.|전기차 충전 사업은 전기차에 전기 에너지를 공급하는 과정에서 충전기를 판매·설치·관리하고 충전료를 과금하는 사업으로 정의할 수 있습니다.
SK이노베이션,Company,BELONGS_TO,전기차 충전 인프라 운영,Industry,,096770,"전기차 충전 인프라 운영 사업의 경우, 정부의 전기차 및 전기차 충전기 보조금정책이 활성화되기 시작한 2010년대 후반부터 국내는 약 100여개 이상의 사업자가 등장하였으나"
SK이노베이션,Company,BELONGS_TO,전력,Industry,,096770,전력부문|전력산업은 제조업 등 국가 경제성장과 밀접한 관계가 있으며|정부는 한국전력공사 중심의 비효율적 독점체제인 전력산업에 경쟁을 도입하여 전력공급의 효율성을 제고하고자 1999년 1월에 전력산업구조개편 기본계획을 수립하였습니다.
SK이노베이션,Company,BELONGS_TO,전력 및 집단에너지,Industry,,096770,전력 및 집단에너지사업
SK이노베이션,Company,BELONGS_TO,전력 및 집단에너지 사업,Industry,,096770,(1) 전력 및 집단에너지 사업
SK이노베이션,Company,BELONGS_TO,정유,Industry,,096770,1962년 국내 최초의 정유회사로 시작한 SK에너지는 대한민국 NO.1 정유사로서|정유 및 석유/윤활유 제품 분야에서는 원료 도입 다변화를 위한 반응/정제 혁신 기술... 등을 개발하고 있습니다.
SK이노베이션,Company,BELONGS_TO,집단에너지,Industry,,096770,11. 집단에너지 사업 (1) 산업의 특성 - 집단에너지사업 정의 및 종류|집단에너지사업은 에너지 이용효율이 높은 열병합발전을 이용하므로...
SK이노베이션,Company,BELONGS_TO,탱크터미널,Industry,,096770,"또한, 당사는 탱크터미널 사업을 통해 울산에 위치한 SK이노베이션 계열 사업회사들의 원유 및 석유제품의 저장·배합·출하 업무를 안정적으로 지원하며"
SK이노베이션,Company,BELONGS_TO,화학소재,Industry,,096770,▶ 화학소재사업 ... (나) 영업의 개황 등|화학소재사업
SK이노베이션,Company,BELONGS_TO,환경 기술,Industry,,096770,"환경 분야에서는 전기자동차에서 발생하는 폐배터리로 인한 환경적, 사회적 문제 및 원료 수급 이슈 대응이 가능한 배터리 금속 회수 및 고부가화 기술을 개발 중입니다."
SK지오센트릭,Company,BELONGS_TO,석유화학,Industry,,096770,국내 석유화학 산업의 발전을 주도한 선도기업으로서 확고한 위치를 지켜오고 있습니다.
SK지오센트릭,Company,BELONGS_TO,화학소재,Industry,,096770,"화학소재사업은 자동차, 전자, 건설, 제약, 의류 소재 등의 전방 산업에 화학 제품을 공급하는 사업으로 전방산업의 경기변동에 민감합니다."
삼성SDI,Company,BELONGS_TO,IT,Industry,,006400,"전자재료 사업은 IT 산업 경기변동에 많은 영향을 받으나, 지속적인 사업 포트폴리오다변화, 차세대 기술 개발, 신제품의 적기 출시 등을 통해 경기변동에 따른 리스크를 최소화하는 사업구조를 구축하고 있습니다."
삼성SDI,Company,BELONGS_TO,IT 기기,Industry,,006400,
삼성SDI,Company,BELONGS_TO,M-Mobility,Industry,,006400,M-Mobility용 46파이 원형 셀 개발
삼성SDI,Company,BELONGS_TO,디스플레이,Industry,,006400,"따라서 당사는 반도체, 디스플레이 등 IT 산업의 Cycle 및 기술 변화 트렌드를 정확히 예측하기 위해"
삼성SDI,Company,BELONGS_TO,디스플레이 소재,Industry,,006400,"디스플레이 소재는 고해상도, 고색재현 등 고기능성의 차별화된 소재의 요구가 증가되고 있으며, 특히 OLED 패널은 모바일/IT 제품과 TV에서의 채용이 증가하고 있어 OLED 소재 수요도 크게 성장하고 있습니다."
삼성SDI,Company,BELONGS_TO,반도체,Industry,,006400,"따라서 당사는 반도체, 디스플레이 등 IT 산업의 Cycle 및 기술 변화 트렌드를 정확히 예측하기 위해|반도체용 고방열 패키징 소재 개발"
삼성SDI,Company,BELONGS_TO,반도체 소재,Industry,,006400,"반도체 소재는 반도체 업체들의 생산량 확대에 영향을 받고 있으며, AI용 반도체 등 수요 확대에 따라 관련 소재의 수요도 지속 성장할 것으로 전망됩니다."
삼성SDI,Company,BELONGS_TO,에너지저장장치(ESS),Industry,,006400,
삼성SDI,Company,BELONGS_TO,이차전지,Industry,,006400,"2차전지 및 전자재료 등의 제조, 개발, 판매 등 사업을 수행하고 있습니다.|당사는 2000년 리튬이온 2차전지 사업을 시작한 이래 지속적으로 에너지 밀도 등 기술 우위의 제품과 품질 개선, 안전성 확보 등을 위해 노력해 온 결과 현재까지 업계 선두권을 유지하고 있습니다.|당사는 미국내에서 생산, 판매한 배터리에 대한 세액공제를 적용받을 것으로 판단하였으며|리튬이온 2차전지 산업은 재료, 설계, 조립 등의 기술이 복합적으로 집약된 산업으로 당사는 제품의 안전성과 고객이 요구하는 에너지 밀도, 출력, 충전속도, 수명 등의 향상을 위해 꾸준히 연구개발에 힘쓰고 있습니다.|전기자동차용 각형/원형 전지, 전동공구 및 Mobility용 원형전지, IT 제품용 파우치 전지 그리고 전력저장용 ESS 전지 등에 대한 기술을 개발 중이며"
삼성SDI,Company,BELONGS_TO,전기자동차,Industry,,006400,
삼성SDI,Company,BELONGS_TO,전동공구,Industry,,006400,
삼성SDI,Company,BELONGS_TO,전자재료,Industry,,006400,"2차전지 및 전자재료 등의 제조, 개발, 판매 등 사업을 수행하고 있습니다.|전자재료 부문은 고객사의 요구에 빠르게 대응하는 업체가 시장을 선점하고|전자재료 부문의 편광필름 사업 양도에 따라 편광필름 사업관련 부문별 재무정보는 작성시 제외하였습니다.|전자재료 사업은 반도체 및 디스플레이 등 IT 사업의 산업 사이클과 변화의 트렌드를 정확히 예측하고, 차별화된 기술을 바탕으로 신규 제품을 적시에 출시하여야 하는 기술집약형 사업입니다."
삼성SDI,Company,BELONGS_TO,환경 규제,Industry,,006400,"국내외 환경 및 에너지 관련 법규와 협약을 철저히 준수하며, 오염물질 배출과 자원 사용을 저감하여 제품 생산 전 과정에서 환경영향을 최소화하는데 전념하고 있습니다."
에코프로,Company,BELONGS_TO,EV,Industry,,086520,전방산업인 배터리 산업과 최종 전방산업인 EV 및 IT / Non-IT 기기 산업의 영향을 받으며
에코프로,Company,BELONGS_TO,IT / Non-IT 기기,Industry,,086520,전방산업인 배터리 산업과 최종 전방산업인 EV 및 IT / Non-IT 기기 산업의 영향을 받으며
에코프로,Company,BELONGS_TO,리튬,Industry,,086520,"리튬 시장은 로봇, ESS, 전기차 등 리튬을 필요로 하는 전방시장의 성장 전망과 함께 그 수요 또한 성장할 것으로 전망하고 있습니다."
에코프로,Company,BELONGS_TO,리튬 전환,Industry,,086520,에코프로이노베이션 리튬 전환(수산화리튬 등) LHM 생산
에코프로,Company,BELONGS_TO,반도체,Industry,,086520,에코프로에이치엔의 온실가스 사업의 전방 시장은 반도체 산업의 설비투자 동향 및 국내외 탄소배출 관련 규제 정책에 밀접하게 연동되어 있습니다.
에코프로,Company,BELONGS_TO,반도체 전자재료 소재,Industry,,086520,초미세 반도체 공정용 유기 전자재료 핵심소재 개발
에코프로,Company,BELONGS_TO,산업용 가스,Industry,,086520,"에코프로에이피 산업용 가스(고순도 산소, 질소 등) ASU 생산"
에코프로,Company,BELONGS_TO,수질 및 대기환경 관련,Industry,,086520,에코프로에이치엔의 주요 사업이 포함된 수질 및 대기환경 관련 시장은 지속적인 성장 추세를 이어나가고 있습니다.
에코프로,Company,BELONGS_TO,양극재,Industry,,086520,"국내를 넘어 유럽 현지 내 양극재 생산시설을 확보하고자 하며|당사가 속한 양극활물질(양극재) 소재 산업은 이차전지 밸류체인에서 후방 산업으로|당사는 중장기 하이니켈 전구체 수요 증가에 적극적인 대응과 CRMA 등 지정학적 리스크에 대한 유연성을 확대 하고자 현재 국내에 한정된 전구체 생산 시설을 북미, 유럽까지 확대하여 해외 생산시설 투자를 계획 하고 있으며, 당기에는 인도네시아의 니켈 제련소를 인수하였습니다.|당사의 양극재 산업 또한 성장세가 이어지고 있습니다.|당사의 주요 제품은 하이니켈 NCA와 NCM 양극재로...|시장점유율은 리튬 이차전지 삼원계 양극재 수요량을 기준으로 산출했습니다.|양극활물질의 도판트, 전해액 첨가제, 도가니 등 이차전지 부소재 개발|최근 양극활물질 및 전구체 시장 규모가 빠르게 확대 되고 있으며"
에코프로,Company,BELONGS_TO,이차전지,Industry,,086520,"당사 양극재 사업의 주 적용처인 EV용 2차전지는...|당사가 속한 양극활물질(양극재) 소재 산업은 이차전지 밸류체인에서 후방 산업으로|당사는 현재 이차전지 부소재 및 유기 전자재료 신사업을 본격적으로 추진하고 있습니다.|에코프로머티리얼즈 전구체(PCSG, PCDS, PNC 등) CPM 생산|에코프로씨엔지 폐배터리 재활용(MCP,LSS 등) BRP 생산|이차전지 산업 공정에서 발생하는 고농도 ·염폐수 처리 등의 폐수 처리 공정에 대한 시장의 관심과 요구가 지속적으로 증가하는 추세입니다.|이차전지 소재 시장은 세계 각국의 정부가 추진하는 환경규제 및 전기차 구매 보조금 지원 등에 힘입어 전기차 시장과 함께 폭발적인 성장을 맞이 하고 있습니다.|이차전지 수요 시장의 확대와 글로벌 친환경 정책에 따른 폐배터리 재활용 시장의 확대가 예상됨에 따라|전동공구용 2차전지는 건설 경기 변동 추이를 따라가는 성향이 있으며...|전방산업인 배터리 산업과 최종 전방산업인 EV 및 IT / Non-IT 기기 산업의 영향을 받으며"
에코프로,Company,BELONGS_TO,자동차,Industry,,086520,환경규제가 강화되는 자동차 산업 패러다임 변화의 수혜에 힘입어 빠르게 성장하고 있고
에코프로,Company,BELONGS_TO,전구체,Industry,,086520,2) 전구체 산업의 성장성 / 당사가 영위하고 있는 전구체 시장 또한 전방산업인 배터리산업의 성장에 힘입어 성장하고 있습니다.|전구체 산업은 배터리 밸류체인 내 가장 높은 비중을 차지하고(원가 기준) 배터리의 성능을 좌우하는 첨단 핵심산업으로 시장진입을 위해서는 기술력의 차이를 극복해야 합니다.|전구체 산업은 자본력을 바탕으로 대규모의 생산설비 투자가 선행되어야 하는 장치산업으로
에코프로,Company,BELONGS_TO,전지재료,Industry,,086520,전지재료사업
에코프로,Company,BELONGS_TO,전지재료사업,Industry,,086520,[전지재료사업부문]
에코프로,Company,BELONGS_TO,지주회사,Industry,,086520,
에코프로,Company,BELONGS_TO,탄소배출권 사업,Industry,,086520,"당사는 경쟁력 높은 온실가스 저감 기술력을 확보 하고 있으며 이를 바탕으로 탄소배출권 사업(SDM 사업)에 진출, 미래성장동력을 확보 하고자 합니다."
에코프로,Company,BELONGS_TO,환경,Industry,,086520,"「환경산업」이란 ... 다양한 산업에서 환경 개선을 위한 기술 및 서비스를 제공하는 산업을 의미하며|「환경산업」이란 광범위하게 자원순환관리, 물관리, 환경복원 및 복구, 기후대응, 대기관리, 환경안전.보건,지속가능 환경.자원, 환경지식.정보.감시 등 다양한 산업에서 환경 개선을 위한 기술 및 서비스를 제공하는 산업을 의미하며, 다음과 특징을 나타내고 있습니다.|환경사업"
에코프로,Company,BELONGS_TO,환경사업,Industry,,086520,[환경사업부문]|환경사업부문은 업계 최고 수준의 개발/분석/설계 인프라를 갖추고 있으며 국내 유일의 친환경 토탈 솔루션을 제공하고 있습니다.
에코프로머티리얼즈,Company,BELONGS_TO,양극재,Industry,,086520,에코프로머티리얼즈 양극활물질용 전구체 등 이차전지용 양극활물질 소재
에코프로머티리얼즈,Company,BELONGS_TO,전지재료사업,Industry,,086520,
에코프로비엠,Company,BELONGS_TO,소형전지,Industry,,247540,"[소형전지 산업] ... 당사는 2016년, EV용 NCM811 양극활물질 양산에 성공하며 제품 포트폴리오를 확대 했습니다."
에코프로비엠,Company,BELONGS_TO,양극재,Industry,,086520|247540,"당사가 속한 양극활물질(양극재) 소재 산업은 이차전지 밸류체인에서 후방 산업으로|당사는 리튬이온 이차전지의 핵심소재인 양극소재(양극재, 양극활물질)를 개발 및 생산하는 전지재료 사업을 영위하고 있습니다.|당사의 경우, 단일 사업(이차전지 양극소재)을 영위하고 있어|당사의 생산능력 현황은 아래와 같습니다. * 연도별 양극 소재 생산능력|당사의 양극재 산업 또한 성장세가 이어지고 있습니다.|당사의 주요 제품은 하이니켈 NCA와 NCM 양극재로|에코프로비엠(연결) 양극활물질 등 이차전지용 양극 소재|중장기 글로벌 No.1 양극소재 업체로의 도약을 위한 기반 구축|최근 이차전지 양극재 사업의 관심집중에 따른 기술, 정보유출 우려 등을 감안하여 상세한 기재는 생략합니다."
에코프로비엠,Company,BELONGS_TO,전지재료사업,Industry,,086520,
에코프로씨엔지,Company,BELONGS_TO,이차전지,Industry,,086520,에코프로씨엔지 폐배터리 재활용 폐배터리(이차전지) 유기금속 회수 및 재활용
에코프로씨엔지,Company,BELONGS_TO,전지재료사업,Industry,,086520,
에코프로에이치엔,Company,BELONGS_TO,환경사업,Industry,,086520,에코프로에이치엔(연결) 환경사업 온실가스 및 유해가스 제어
에코프로에이피,Company,BELONGS_TO,이차전지,Industry,,086520,에코프로에이피 산업용 가스 이차전지용 산업용 가스 공급
에코프로에이피,Company,BELONGS_TO,전지재료사업,Industry,,086520,
에코프로이노베이션,Company,BELONGS_TO,양극재,Industry,,086520,에코프로이노베이션(연결) 양극활물질용 수산화리튬 이차전지용 양극활물질 소재
에코프로이노베이션,Company,BELONGS_TO,전지재료사업,Industry,,086520,
